"","x"
"GO:0000002","GO:0000079"
"GO:0000003","GO:0000122"
"GO:0000012","GO:0000278"
"GO:0000017","GO:0001933"
"GO:0000018","GO:0001938"
"GO:0000022","GO:0009267"
"GO:0000023","GO:0009611"
"GO:0000027","GO:0016525"
"GO:0000028","GO:0031397"
"GO:0000038","GO:0043524"
"GO:0000045","GO:0043627"
"GO:0000050","GO:0045600"
"GO:0000052","GO:0045669"
"GO:0000053","GO:0048146"
"GO:0000054","GO:0051726"
"GO:0000055","GO:0060548"
"GO:0000056","GO:0071560"
"GO:0000070","GO:0090090"
"GO:0000076","GO:0000785"
"GO:0000077","GO:0005575"
"GO:0000079","GO:0005796"
"GO:0000080","GO:0005901"
"GO:0000082","GO:0005923"
"GO:0000083","GO:0015630"
"GO:0000086","GO:0030027"
"GO:0000098","GO:0031012"
"GO:0000103","GO:0045211"
"GO:0000105","GO:0055038"
"GO:0000117","GO:0090575"
"GO:0000122","GO:0000981"
"GO:0000132","GO:0001227"
"GO:0000154","GO:0001228"
"GO:0000165","GO:0003700"
"GO:0000183","GO:0005178"
"GO:0000184","GO:0005516"
"GO:0000209","GO:0008083"
"GO:0000212","GO:1990837"
