,VarPerc,cumVarPerc
PC1,13.067307703208913,13.067307703208913
PC2,10.291755053180372,23.35906275638929
PC3,4.839652542844309,28.198715299233594
PC4,4.5059260587769785,32.70464135801057
PC5,3.5423507582693468,36.24699211627992
PC6,3.0942234084269393,39.341215524706854
PC7,2.637878986969765,41.97909451167662
PC8,2.2788477871703634,44.257942298846984
PC9,2.149340080970201,46.40728237981719
PC10,1.7523089799546305,48.15959135977182
PC11,1.6448910457613628,49.804482405533186
PC12,1.5411296833541077,51.34561208888729
PC13,1.4058359379020202,52.75144802678932
PC14,1.3111195324473757,54.0625675592367
PC15,1.260723820236059,55.32329137947275
PC16,1.2538454836086153,56.577136863081364
PC17,1.1566327549550444,57.73376961803641
PC18,1.1339079382758221,58.86767755631224
PC19,1.0604765267345602,59.92815408304679
PC20,1.0280337598189149,60.9561878428657
PC21,0.937697191952197,61.8938850348179
PC22,0.9087827730188933,62.802667807836784
PC23,0.8562881720287636,63.65895597986555
PC24,0.8312653325154765,64.49022131238102
PC25,0.8189994666363408,65.30922077901737
PC26,0.8006668871410451,66.1098876661584
PC27,0.7727059142482007,66.8825935804066
PC28,0.7577014631847815,67.64029504359138
PC29,0.7323577485348614,68.37265279212625
PC30,0.7276105404063338,69.10026333253258
PC31,0.7110146203584747,69.81127795289105
PC32,0.6934158385569275,70.50469379144798
PC33,0.6638853439821321,71.16857913543011
PC34,0.6475550304283205,71.81613416585843
PC35,0.629060967546519,72.44519513340495
PC36,0.60944366406924,73.0546387974742
PC37,0.6070493828661703,73.66168818034036
PC38,0.5928206380582274,74.25450881839858
PC39,0.5872670643553113,74.8417758827539
PC40,0.5775585708109346,75.41933445356483
PC41,0.5711694872288524,75.99050394079367
PC42,0.5550932244766343,76.54559716527031
PC43,0.5350337892764949,77.0806309545468
PC44,0.5199718833719532,77.60060283791876
PC45,0.5104594975972564,78.11106233551601
PC46,0.5090414585847403,78.62010379410074
PC47,0.5019292103873906,79.12203300448813
PC48,0.4914651909770028,79.61349819546514
PC49,0.4843576741497435,80.09785586961489
PC50,0.47757371004553467,80.57542957966042
PC51,0.4658878485267002,81.04131742818711
PC52,0.4589086518042874,81.5002260799914
PC53,0.44364288409631314,81.94386896408773
PC54,0.4400967199025308,82.38396568399025
PC55,0.4274923146852505,82.81145799867551
PC56,0.4227461705208705,83.23420416919637
PC57,0.4124840661549985,83.64668823535138
PC58,0.4100043091891404,84.05669254454051
PC59,0.3972277231317731,84.45392026767229
PC60,0.3921185041940928,84.84603877186639
PC61,0.38718552926213523,85.23322430112852
PC62,0.37622004487218813,85.60944434600071
PC63,0.3707632159628307,85.98020756196354
PC64,0.3677618530685931,86.34796941503214
PC65,0.360131889560229,86.70810130459236
PC66,0.34836309482884564,87.0564643994212
PC67,0.34670982542904155,87.40317422485025
PC68,0.3397732219367658,87.74294744678701
PC69,0.3328174459624711,88.07576489274949
PC70,0.3277330972639455,88.40349799001343
PC71,0.3184120017276346,88.72190999174107
PC72,0.3143486442441588,89.03625863598522
PC73,0.3122616547307144,89.34852029071594
PC74,0.30913914638035683,89.6576594370963
PC75,0.30279874947248075,89.96045818656877
PC76,0.2960524520037219,90.2565106385725
PC77,0.2875490657295819,90.54405970430209
PC78,0.28403511473523135,90.8280948190373
PC79,0.28236087390542625,91.11045569294274
PC80,0.2741721057920854,91.38462779873481
PC81,0.27358481926873734,91.65821261800356
PC82,0.2671317631130279,91.92534438111657
PC83,0.2639909266927921,92.18933530780937
PC84,0.2626848751190309,92.45202018292841
PC85,0.25871588770005294,92.71073607062846
PC86,0.25222553723866425,92.96296160786713
PC87,0.25032841522942484,93.21329002309655
PC88,0.2464425841642162,93.45973260726078
PC89,0.242879999193531,93.70261260645431
PC90,0.2411184500654891,93.9437310565198
PC91,0.23390424967362733,94.17763530619342
PC92,0.23297752698749555,94.41061283318092
PC93,0.2264046605713377,94.63701749375225
PC94,0.2220764728300753,94.85909396658234
PC95,0.21792739506595513,95.07702136164828
PC96,0.21466700096389751,95.29168836261218
PC97,0.21247967958699837,95.50416804219918
PC98,0.20695294152908503,95.71112098372826
PC99,0.20426845604280852,95.91538943977108
PC100,0.20223414676377072,96.11762358653483
PC101,0.19428076811581865,96.31190435465065
PC102,0.1861215891113535,96.49802594376202
PC103,0.18570980704322199,96.68373575080523
PC104,0.18404118501480357,96.86777693582003
PC105,0.17722825261957004,97.0450051884396
PC106,0.1695465163192125,97.2145517047588
PC107,0.16756001620361768,97.38211172096243
PC108,0.1625210957232666,97.54463281668569
PC109,0.16119001582489761,97.70582283251059
PC110,0.15554995093827495,97.86137278344886
PC111,0.15515865277736335,98.01653143622623
PC112,0.15202775055469947,98.16855918678093
PC113,0.14990642744349222,98.31846561422441
PC114,0.14330659828007541,98.4617722125045
PC115,0.13756866325588005,98.59934087576038
PC116,0.1367308368679542,98.73607171262833
PC117,0.13264221799021358,98.86871393061854
PC118,0.12844977148425937,98.9971637021028
PC119,0.12190427428651997,99.11906797638932
PC120,0.11937712907258526,99.2384451054619
PC121,0.1126497505407705,99.35109485600267
PC122,0.11042605305894895,99.46152090906163
PC123,0.10233486996214838,99.56385577902378
PC124,0.10106674859881172,99.6649225276226
PC125,0.09373541517838532,99.75865794280098
PC126,0.0860012930294414,99.84465923583042
PC127,0.08182231968011446,99.92648155551052
PC128,0.07351844448943089,99.99999999999996
PC129,2.5736833222792476e-30,99.99999999999996
